ANO,Pinar del Río,Artemisa,La Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,Sancti Spíritus,Ciego de Ávila,Camagüey,Las Tunas,Holguín,Granma,Santiago de Cuba,Guantánamo,Isla de la Juventud
2006.0,-1974,2192,-11681,1180,1264,-2726,-235,-860,174,-3471,-1843,-3856,-3732,-5389,-3555,-764
2007.0,-2024,1544,-9728,1361,1121,-2899,-108,-586,-40,-3318,-1223,-3925,-3024,-5885,-3529,-549
2008.0,-2745,666,-6699,592.0,1917,-3912,244.0,-645.0,-249,-4361,-1626,-4786,-3691,-6477,-4185,-947.0
2009.0,-3180,393,-5681,148.0,1485,-4033,359.0,-1027.0,339.0,-4484,-1522,-5538,-3513,-5873,-4047,-390.0
2010.0,-2998,54,-4477,-907.0,1399,-4091,278.0,-1061.0,11.0,-4960,-1200,-5277,-4155,-6068,-4276,-437.0
2011.0,-2740,675,-5246,-1897.0,1803,-3901,158.0,-946.0,342.0,-5544,-1359,-5421,-4019,-6434,-4097,-637.0
2012.0,-3769,1344,-6631,825.0,1584,-4636,-1380.0,-799.0,-6.0,-6943,-2285,-6075,-5281,-6999,-4622,-989.0
2013.0,-775,1508,12819,753.0,2986,-129,489.0,409.0,900.0,-678,-940,-3259,-4151,-2591,-3585,-454.0
2014.0,-376,1160,7415,1093.0,2300,155,301.0,627.0,1400.0,-251,-703,-2176,-3166,-2411,-3150,-296.0
2015.0,-2434,448,5782,615,2187,-2003,-763,-767,809,-2981,-2084,-5062,-6506,-6064,-5165,-696
2016.0,-1888,1735,8314,533.0,3239,-1714,134.0,-160.0,935.0,-2431,-1769,-4887,-6867,-6681,-5244,-500
2017.0,-2592, 1482, 4734,744.0, 2493,-2494,-691.0,-363.0,-343.0,-3048,-2489,-5590,-6635,-5925,-4741,-736
2018.0,-1977,1397,5450,753.0,2071,-2289,-860.0,37.0,-976.0,-3158,-2170,-4436,-5405,-4820,-4703,-478.0
2019.0,-1814,1221,5559,701.0,2132,-1570,-296.0,-313.0,475.0,-1876,-1650,-4466,-5632,-4540,-4276,-449.0
2020.0,-1288,799,6515,806.0,335,-92,415,-338.0,126.0,-242,-1124,-2543,-3314,-2422,-2040,-67.0
2021.0,-1338,19,15204,-189,-338,-257,159,468,-909,-378,-534,-3028,-3601,-2535,-2579,4
2022.0,-1521,1381,19279,646,1837,-114,214,177,366,-1119,-1477,-4812,-5998,-4050,-3896,78